"","Date","Site","Stimuli","Phase","Phase_dur","Total_calls","Total_ditonal","Avedur_ditonal","Total_monotonal","Total_bell","Total_alert","Total_redtail","Total_trains","Avenum_elements","Avedur_trains","Avedur_silence","Avedur_delta","Pre.Phase_dur","Pre.Total_calls","Pre.Total_ditonal","Pre.Avedur_ditonal","Pre.Total_monotonal","Pre.Total_bell","Pre.Total_alert","Pre.Total_redtail","Pre.Total_trains","Pre.Avenum_elements","Pre.Avedur_trains","Pre.Avedur_silence","Pre.Avedur_delta","Approach","Video_dur","Feed_dur","Pre.Approach","Pre.Video_dur","Pre.Feed_dur","Corr.Total_calls","Corr.Avenum_elements","Corr.Avedur_ditonal","Feed_rate","Pre.Feed_rate","Corr.Feed_rate","Corr.Avgnum_calls","DutyCycle"
"1",20141119,3,"EASO","Post",287.4256,50,61,0.386868852,NA,NA,NA,NA,10,1.22,1.0415,0.24348,0.63362,310.485,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288,90,NA,293,0,50,NA,0.386868852,18.75,0,18.75,10.4374836479423,0.0821047254385135
"2",20141119,3,"GHOW","Post",291.6426,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,330.797,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292,1,NA,313,128,0,NA,0,0.205479452054795,24.5367412140575,-24.3312617620027,0,0
"3",20141203,3,"AMRO","Post",285.9921,28,41,0.295926829,NA,NA,NA,NA,10,1.464285714,0.91551,0.2214,0.4888,325.51,91,99,0.363878788,NA,NA,NA,NA,7,1.08791208791209,1.0176,0.262842857,0.654442857,NA,285,51,NA,316,90,-63,0.376373626087912,-0.067951959,10.7368421052632,17.0886075949367,-6.35176548967355,-13.2171483058448,0.0424242487432345
"4",20141203,3,"GHOW","Post",296.204,10,12,0.3975,NA,NA,NA,3,2,1.2,1.173,0.2752,0.7389,325.755,2,1,0.351,8,NA,NA,2,NA,0.5,NA,NA,NA,NA,294,27,NA,306,26,8,0.7,0.0465,5.51020408163265,5.09803921568628,0.412164865946377,1.62050478724123,0.0161037663232097
"5",20141205,1,"AMRO","Post",312.0989,10,0,0,NA,NA,NA,NA,2,0,NA,NA,NA,315.113,2,6,0.353233333,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,300,153,NA,300,90,8,-3,-0.353233333,30.6,18,12.6,1.53797402041468,0
"6",20141222,2,"GHOW","Post",284.472,35,44,0.361186364,NA,NA,NA,NA,8,1.257142857,1.0867625,0.242177778,0.633711111,327.218,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285,0,NA,309,0,35,NA,0.361186364,0,0,0,7.38209735931832,0.0558656037008915
"7",20150122,6,"AMRO","Post",308.4966,4,5,0.3856,NA,NA,NA,NA,1,1.25,0.7722,NA,NA,323.748,19,23,0.369786957,NA,NA,NA,NA,3,1.21052631578947,1.217333333,0.266,0.617,NA,309,2,NA,302,0,-15,0.0394736842105263,0.015813043,0.388349514563107,0,0.388349514563107,-2.91737412989317,0.00624966369159336
"8",20150122,6,"EASO","Post",307.0279,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,338.886,7,15,0.337966667,NA,NA,NA,NA,5,2.14285714285714,1.28816,0.1761,0.48695,NA,307,0,NA,317,10,-7,-2.14285714285714,-0.337966667,0,1.89274447949527,-1.89274447949527,-1.36795385696218,0
"9",20150123,6,"GHOW","Post",326.2576,15,24,0.359,NA,NA,NA,NA,3,1.6,1.865733333,0.148622222,0.50579,334.9932,3,4,0.42775,NA,NA,NA,NA,1,1.33333333333333,1.016,0.0185,0.532,NA,322,0,NA,309,21,12,0.266666666666667,-0.06875,0,4.07766990291262,-4.07766990291262,2.20684514322425,0.0264085802139169
"10",20150204,6,"EASO","Post",339.7145,23,28,0.396785714,NA,NA,NA,NA,4,1.217391304,1.0899,0.15962,0.5564,323.075,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,327,1,NA,300,10,23,NA,0.396785714,0.18348623853211,2,-1.81651376146789,4.06223461171072,0.0327039322489914
